realtime,time_difference
2023-02-01 05:07:42,102.0
2023-02-01 05:33:55,733.0
2023-02-01 05:34:26,-809.0
2023-02-01 05:48:01,35.0
2023-02-01 06:09:21,-40.0
2023-02-01 06:20:36,135.0
,
2023-02-01 06:37:07,
2023-02-01 06:42:58,-129.0
2023-02-01 06:52:07,69.0
2023-02-01 07:00:34,-33.0
2023-02-01 07:19:16,102.0
2023-02-01 07:25:44,-152.0
,
2023-02-01 07:37:14,
2023-02-01 07:55:29,555.0
2023-02-01 08:01:39,-110.0
2023-02-01 08:09:33,-6.0
2023-02-01 08:17:56,23.0
2023-02-01 08:42:31,395.0
2023-02-01 08:48:08,-203.0
,
2023-02-01 09:00:17,
2023-02-01 09:26:02,-437.0
2023-02-01 09:24:19,902.0
2023-02-01 09:45:59,237.0
2023-02-01 10:00:45,-194.0
2023-02-01 10:09:53,8.0
2023-02-01 10:15:35,-258.0
2023-02-01 10:22:16,-139.0
2023-02-01 10:44:48,-594.0
2023-02-01 10:44:42,806.0
2023-02-01 10:52:58,-110.0
2023-02-01 11:00:29,-89.0
2023-02-01 11:17:28,419.0
2023-02-01 11:20:09,-439.0
2023-02-01 11:29:38,-31.0
2023-02-01 11:39:02,-36.0
2023-02-01 11:51:02,120.0
2023-02-01 12:07:50,408.0
2023-02-01 12:10:21,-449.0
2023-02-01 12:20:55,34.0
2023-02-01 12:28:25,-90.0
2023-02-01 12:45:53,508.0
2023-02-01 12:47:50,-423.0
2023-02-01 12:56:12,-38.0
2023-02-01 13:12:12,360.0
2023-02-01 13:17:27,-285.0
2023-02-01 13:25:02,-145.0
2023-02-01 13:37:19,137.0
2023-02-01 13:45:52,-87.0
2023-02-01 13:56:00,8.0
2023-02-01 14:16:31,91.0
2023-02-01 14:28:23,52.0
2023-02-01 14:36:10,-133.0
2023-02-01 14:46:36,26.0
2023-02-01 14:57:44,68.0
2023-02-01 15:19:14,150.0
2023-02-01 15:30:30,136.0
2023-02-01 15:34:46,-344.0
2023-02-01 15:52:33,-13.0
2023-02-01 16:00:20,-13.0
2023-02-01 16:08:25,5.0
,
2023-02-01 16:29:09,
2023-02-01 16:51:46,-263.0
2023-02-01 17:00:12,-94.0
2023-02-01 17:12:54,162.0
2023-02-01 17:22:10,-44.0
2023-02-01 17:30:47,-23.0
2023-02-01 18:15:13,-922.0
,
2023-02-01 18:13:35,
2023-02-01 18:19:17,-296.0
2023-02-01 18:36:16,59.0
2023-02-01 18:40:42,-334.0
2023-02-01 18:50:02,-40.0
2023-02-01 19:00:28,26.0
2023-02-01 19:09:28,-60.0
2023-02-01 19:35:02,274.0
2023-02-01 19:40:34,-268.0
2023-02-01 19:54:40,246.0
2023-02-01 20:01:44,-176.0
2023-02-01 20:13:08,24.0
2023-02-01 20:27:04,116.0
2023-02-01 20:49:49,-75.0
2023-02-01 20:59:44,-125.0
2023-02-01 21:15:56,252.0
2023-02-01 21:24:06,-230.0
2023-02-01 21:35:58,52.0
2023-02-01 21:44:34,-144.0
2023-02-01 21:58:20,106.0
2023-02-01 22:13:29,189.0
2023-02-01 22:31:58,329.0
2023-02-01 22:35:18,-580.0
2023-02-01 22:49:51,33.0
2023-02-01 23:05:53,62.0
2023-02-01 23:40:47,-539.0
2023-02-01 23:34:46,833.0
2023-02-01 23:48:49,-418.0
2023-02-01 00:04:57,68.0
2023-02-01 00:34:42,885.0
2023-02-01 00:36:15,-867.0
2023-02-01 00:52:11,-4.0
2023-02-01 01:31:21,1150.0
